customer_id,age,account_age_days,calls_per_day,avg_call_duration,unique_numbers_called,international_calls,sms_per_day,data_usage_gb,recharge_amount,sim_changes,device_changes,complaints_count,roaming_usage,late_payments,fraud_label
102215,66,1035,101,10.49,24,6,10,22.64,38,2,2,3,1,0,0
102582,57,93,507,2.43,408,76,805,24.24,3,2,8,6,0,1,1
101662,59,1483,155,7.54,116,34,196,11.48,128,2,0,3,0,0,0
103027,46,154,333,0.57,570,114,534,2.99,50,8,7,8,1,0,1
104343,35,141,66,8.41,89,61,19,3.47,74,2,0,2,0,0,0
102680,20,1210,210,8.28,101,20,217,17.84,134,0,2,3,1,0,0
101765,21,126,683,0.86,622,439,304,21.04,34,9,3,2,1,1,1
101123,24,137,891,1.82,283,157,1368,5.8,55,10,8,11,0,0,1
104054,44,123,622,0.22,178,335,912,3.76,58,8,9,9,0,1,1
103761,42,40,817,0.84,660,278,1258,19.71,29,6,11,4,1,1,1
101535,18,33,405,0.32,309,189,1467,19.15,58,7,8,8,0,1,1
102944,54,282,51,7.13,11,43,160,16.58,80,0,0,0,0,1,0
102987,41,1272,67,2.82,92,16,107,1.47,100,2,1,0,0,0,0
104291,68,1225,81,10.3,65,32,97,6.02,143,0,1,2,0,0,0
104342,33,563,214,9.97,23,59,213,23.51,43,0,0,0,0,0,0
104424,19,799,159,8.03,110,5,87,21.76,28,1,1,0,0,0,0
107941,40,817,26,5.35,92,21,177,8.64,127,1,0,3,0,0,0
104997,29,1116,150,7.46,60,25,103,4.39,106,0,0,2,0,0,0
102748,52,903,23,5.53,91,57,120,5.41,107,2,2,1,0,0,0
102302,74,1455,141,8.01,64,8,185,19.56,139,0,1,1,0,1,0
103932,58,1209,90,7.31,56,42,166,25.72,107,0,0,1,0,0,0
105956,66,199,185,5.51,73,27,289,7.57,117,0,1,0,0,0,0
106131,51,685,95,2.21,52,33,69,12.6,31,0,2,1,1,0,0
107596,24,1235,35,4.43,54,16,276,2.81,49,1,0,2,0,0,0
100794,45,2,476,1.74,137,283,1353,9.21,35,2,3,11,1,1,1
103163,48,1001,154,8.04,24,56,216,17.42,111,2,1,3,0,0,0
107940,63,609,141,9.42,21,34,87,27.95,111,0,0,0,0,0,0
103181,25,1265,26,6.84,3,38,140,20.93,62,2,2,3,0,0,0
100763,59,877,97,8.23,109,41,47,18.23,68,0,1,0,0,1,0
103078,47,226,212,3.47,640,68,695,12.98,9,6,3,11,0,1,1
100811,63,197,497,1.65,617,173,1233,11.55,11,4,5,6,0,1,1
107259,65,1325,27,9.14,30,5,148,12.43,94,1,2,1,0,0,0
106931,68,1086,187,6.5,12,52,162,29.64,20,2,0,1,0,1,0
101618,21,224,500,0.43,282,225,1495,22.44,22,6,9,4,1,1,1
106826,21,1093,8,10.12,115,3,149,13.48,25,2,1,2,0,1,0
101042,61,31,238,0.21,621,84,510,4.96,41,11,11,4,1,1,1
105318,22,464,148,11.73,62,61,74,3.03,57,2,1,3,0,1,0
104794,32,865,43,6.01,25,64,26,1.02,85,1,0,0,1,0,0
100487,67,206,30,11.07,78,38,154,13.36,149,0,1,1,1,0,0
101017,65,993,60,2.36,82,61,41,18.53,134,0,1,0,0,1,0
102815,34,174,163,1.45,630,536,1615,13.04,9,8,4,4,1,1,1
102716,54,269,152,5.48,115,16,16,29.8,144,2,0,1,0,0,0
105363,43,1459,20,4.36,84,16,6,15.39,100,1,1,2,0,0,0
102929,72,1369,186,4.27,86,32,37,26.03,117,1,2,1,0,1,0
103362,57,1292,196,9.76,105,32,55,3.54,93,0,0,1,0,0,0
105165,59,29,981,1.13,184,532,189,5.52,30,8,10,4,1,1,1
101075,70,194,181,2.04,637,76,969,20.06,25,8,2,11,1,1,1
106398,53,872,114,8.59,100,65,104,3.89,63,0,1,3,0,0,0
104981,61,172,288,0.48,235,34,832,8.05,39,11,9,4,1,1,1
106228,45,74,752,3.88,141,208,1300,24.33,17,6,7,6,0,0,1
102921,52,1453,76,2.62,67,64,150,1.36,110,0,2,3,0,0,0
104019,56,77,715,0.71,155,290,1510,11.72,16,9,5,10,1,1,1
104331,53,53,819,3.37,379,318,1601,24.0,44,4,3,6,0,1,1
106999,70,136,485,1.35,266,154,490,0.67,58,2,10,2,0,1,1
101322,49,1375,14,10.67,79,11,62,16.14,109,1,1,3,0,0,0
107731,39,945,7,2.45,3,16,220,0.25,66,0,1,3,0,0,0
102252,64,162,843,4.21,355,109,328,8.93,4,3,4,5,1,1,1
106654,21,240,305,0.35,199,205,655,12.8,23,7,6,2,1,1,1
107244,27,1376,141,1.76,23,15,278,6.13,20,1,2,3,0,0,0
100866,56,1314,117,8.29,73,50,169,12.12,57,0,2,2,0,0,0
105591,64,418,27,11.09,41,11,66,20.6,62,0,2,1,0,0,0
102465,50,49,241,2.06,607,150,288,19.29,30,4,8,1,0,1,1
100465,55,21,319,4.12,527,277,937,12.95,46,3,9,9,0,1,1
102882,25,587,133,10.47,11,26,99,8.69,134,2,1,2,0,0,0
104961,62,689,129,11.47,108,30,37,20.87,91,0,2,0,0,0,0
107042,35,1224,144,4.23,6,15,108,21.92,27,2,0,3,0,0,0
106240,27,1443,174,4.62,106,29,211,23.45,49,1,2,2,0,0,0
105447,46,845,5,1.95,111,39,48,17.5,48,1,1,1,1,0,0
101502,57,41,994,3.68,101,413,1299,21.52,56,11,8,1,1,0,1
103915,29,197,319,3.17,305,500,167,7.72,10,8,9,5,0,1,1
103262,44,1065,21,10.16,17,53,23,20.92,147,1,2,2,0,0,0
100263,39,345,135,2.09,55,67,207,8.57,22,1,1,1,0,1,0
103806,67,728,155,10.72,108,29,78,18.56,83,0,2,3,0,0,0
104084,31,108,82,1.78,8,63,2,10.25,111,1,0,1,0,0,0
107839,45,587,189,7.98,42,16,118,13.38,58,1,1,0,1,1,0
101811,20,1456,168,6.32,9,4,25,12.12,144,0,0,3,1,0,0
101144,51,23,436,2.56,348,510,412,8.11,52,9,11,2,1,1,1
105827,35,225,684,0.82,210,207,1698,17.71,55,3,3,8,1,1,1
102149,51,200,122,10.77,55,12,127,26.4,61,0,1,2,0,1,0
103929,74,565,60,2.51,107,4,36,11.13,49,2,0,3,1,1,0
106319,25,234,80,9.0,79,21,71,19.58,96,2,0,2,0,0,0
103290,56,282,71,6.31,103,22,217,17.86,30,1,2,1,0,0,0
100682,41,806,157,8.73,81,10,35,27.94,32,1,0,1,0,0,0
102840,66,141,351,1.0,344,75,1398,1.08,37,10,9,6,0,1,1
101002,60,573,81,11.82,75,62,296,10.03,122,1,1,3,0,0,0
106755,34,338,146,4.88,113,23,81,23.95,42,2,1,2,0,0,0
105129,57,1207,1,9.94,59,20,56,15.89,97,2,2,3,0,0,0
104290,57,5,851,1.26,663,337,1571,0.71,37,11,3,3,1,0,1
102173,36,153,513,3.55,512,484,1313,3.55,14,2,4,1,0,1,1
100483,23,43,307,2.76,563,479,672,15.82,26,3,5,4,0,0,1
103813,43,792,49,8.91,50,8,149,22.81,139,2,0,1,0,0,0
104414,21,822,101,8.55,67,68,98,2.75,145,1,2,0,0,0,0
100518,36,147,9,9.45,83,40,173,23.96,135,1,0,2,1,0,0
106988,36,195,106,5.21,99,18,88,8.56,85,0,0,1,0,1,0
101345,34,1209,195,11.63,9,37,154,23.6,28,0,2,1,1,0,0
100696,42,1137,217,5.3,81,5,213,21.18,111,1,0,3,1,0,0
101009,51,1135,68,4.84,67,7,225,3.6,142,1,1,0,0,1,0
106317,28,1415,198,5.22,45,41,158,10.62,66,1,1,3,1,0,0
106595,36,1048,39,4.65,31,22,192,17.12,90,1,2,2,0,0,0
102770,71,1015,139,9.7,6,7,5,13.96,75,1,2,2,0,0,0
101074,29,738,138,5.72,74,61,219,11.75,126,1,1,2,0,0,0
101339,19,1467,198,4.2,77,53,207,17.24,67,1,2,3,0,0,0
102986,66,111,639,1.9,265,416,1054,16.95,38,5,9,4,0,1,1
107709,60,1393,211,9.27,75,28,72,9.88,140,0,1,0,0,1,0
106747,70,2,296,2.15,179,171,681,6.73,57,10,1,7,1,1,1
104421,30,444,131,1.92,22,13,136,1.67,118,2,2,1,0,0,0
103392,40,1266,198,3.86,103,56,166,16.23,64,1,2,0,0,0,0
101483,36,114,67,6.21,54,47,170,29.15,21,1,2,1,0,0,0
104861,68,137,78,9.17,9,6,119,10.17,41,1,2,1,0,0,0
101934,29,1405,29,3.2,71,46,81,0.82,140,2,1,1,0,0,0
101034,28,177,199,2.02,21,9,217,7.71,85,1,2,0,0,0,0
105484,21,1048,21,8.76,103,68,10,1.37,51,0,2,0,0,0,0
102478,74,894,118,6.92,70,23,94,9.96,49,0,2,3,0,0,0
100349,55,98,546,1.37,448,249,1405,13.71,52,7,8,7,1,1,1
104393,31,514,175,8.11,22,12,194,9.12,118,0,0,1,0,0,0
104352,24,78,397,2.99,146,418,1032,24.63,9,10,6,5,1,1,1
107557,51,646,207,1.51,84,59,284,8.24,20,0,2,1,0,0,0
101061,46,481,104,5.32,37,50,165,12.71,72,2,0,2,0,0,0
100879,71,83,612,1.84,445,401,1064,14.48,27,8,4,7,0,1,1
105602,39,1481,54,6.65,96,48,249,14.87,137,2,2,1,1,0,0
102542,54,1025,115,4.61,42,1,200,28.11,38,0,1,1,0,0,0
106423,27,1366,15,7.62,81,54,217,26.94,123,1,1,2,0,0,0
106744,55,213,94,6.8,24,15,39,24.19,144,1,2,1,0,1,0
101850,43,616,22,5.07,27,20,233,11.25,35,0,1,3,0,0,0
105402,40,165,199,8.54,59,6,62,1.34,86,1,0,0,0,0,0
101677,74,1041,68,3.37,88,54,197,24.18,148,1,1,3,0,0,0
101835,70,965,15,5.43,63,30,282,14.42,85,0,2,3,0,1,0
107111,46,157,179,2.42,148,470,184,15.65,13,8,10,11,1,0,1
104952,28,1284,105,3.16,97,56,149,15.88,127,0,1,0,0,0,0
104704,18,816,146,5.54,113,47,289,0.96,44,2,0,2,0,1,0
105199,50,624,26,5.35,40,27,127,24.24,114,2,0,1,0,0,0
100457,50,22,745,2.47,245,403,522,21.68,51,11,10,11,1,1,1
104647,29,1218,108,11.96,26,63,88,24.51,22,2,1,2,0,0,0
106507,50,116,549,0.68,670,539,1149,16.76,32,7,4,8,0,1,1
103182,57,495,203,9.44,77,18,20,28.18,101,0,2,1,0,1,0
105337,66,175,633,2.68,568,35,703,14.13,19,9,9,3,0,1,1
101945,28,141,937,3.97,635,451,408,16.25,1,4,4,6,0,0,1
106124,62,163,450,2.45,184,298,210,0.36,32,3,7,8,0,1,1
103263,65,167,902,3.33,124,304,1134,22.18,22,10,3,1,1,0,1
106522,40,1274,137,10.69,45,57,38,13.18,87,2,1,1,0,0,0
106521,18,499,59,2.08,93,56,188,23.5,127,0,0,2,0,0,0
106702,69,196,259,2.31,190,164,264,22.54,40,3,8,5,1,1,1
102988,74,174,357,2.52,317,261,737,10.11,26,9,3,7,1,1,1
107020,53,57,972,1.45,91,490,951,16.45,41,7,5,8,1,1,1
101550,61,892,204,4.43,86,54,194,3.25,23,0,2,3,0,1,0
102164,70,985,26,10.27,13,37,169,21.88,147,0,1,2,0,0,0
100586,31,238,376,1.94,424,429,1380,13.1,44,9,7,3,0,0,1
102405,70,742,61,10.33,65,32,98,13.58,80,2,1,0,0,0,0
106800,26,210,929,3.0,466,149,1553,0.46,57,4,9,3,0,0,1
103428,73,171,146,2.62,54,10,129,25.72,27,2,2,3,1,0,0
102609,45,176,379,3.18,84,531,1357,10.64,52,5,7,4,0,0,1
103656,58,578,35,5.82,43,41,57,25.63,59,0,1,3,0,0,0
103214,55,1199,132,10.22,119,9,19,20.9,114,0,0,0,0,0,0
103534,69,883,35,5.57,5,61,178,19.38,101,1,2,1,0,1,0
103286,39,61,426,0.54,623,229,224,7.96,32,6,9,9,1,1,1
102080,21,1497,58,4.45,107,25,207,0.88,105,2,0,3,0,0,0
106955,70,213,61,2.19,93,0,156,28.31,42,0,0,2,0,0,0
106487,67,1335,211,11.34,24,26,75,24.16,44,2,2,2,0,0,0
100647,53,370,172,1.64,41,6,174,12.11,65,1,0,0,0,0,0
100222,66,118,173,2.42,123,82,707,6.2,38,9,2,6,1,1,1
106889,70,496,197,8.65,85,33,78,12.98,46,1,0,2,0,0,0
107678,58,589,97,9.8,71,26,108,20.45,70,2,2,3,0,0,0
100023,40,143,211,2.69,130,219,1298,21.01,58,7,1,4,0,0,1
101905,70,925,74,3.2,10,50,208,7.29,134,1,2,2,0,0,0
104078,41,28,270,3.9,292,351,945,3.53,27,8,9,5,1,0,1
101554,53,509,204,1.81,41,2,82,4.43,84,2,1,0,1,0,0
105723,39,205,648,3.13,347,323,1388,18.47,54,9,7,9,1,1,1
105204,47,234,423,0.58,574,33,1561,24.39,58,2,10,3,1,0,1
107700,43,105,696,1.29,511,219,1571,8.53,13,10,4,1,0,1,1
105840,58,60,408,1.12,547,407,341,19.54,36,3,11,10,1,1,1
104945,69,933,200,2.33,99,27,213,20.3,101,0,0,3,0,0,0
101407,66,713,197,4.48,88,25,252,10.37,66,1,2,1,0,0,0
100065,29,218,260,0.8,289,489,1153,14.22,4,6,8,5,1,0,1
106340,26,14,186,2.4,195,354,876,24.36,46,11,8,10,0,1,1
101044,38,1228,127,8.46,80,25,54,19.12,144,2,2,1,0,0,0
106688,39,734,100,3.71,94,34,260,9.8,101,2,2,0,0,1,0
107924,27,730,146,4.55,29,42,22,0.39,146,0,2,0,0,0,0
104743,56,982,38,8.06,104,42,250,15.87,116,1,0,3,0,0,0
102031,21,239,474,2.83,279,265,1002,24.48,52,5,5,5,0,1,1
105824,58,234,668,0.99,541,435,519,18.88,10,9,6,4,0,0,1
105244,22,782,51,3.83,49,48,187,29.73,122,1,2,3,0,0,0
105036,49,368,171,8.61,103,27,232,22.57,100,1,0,1,0,0,0
100554,41,205,783,3.96,415,451,470,5.98,51,4,11,5,1,1,1
107311,37,697,129,1.81,71,12,10,0.98,140,2,1,1,0,0,0
104394,37,1444,15,2.46,28,19,108,28.54,37,1,0,0,0,1,0
105394,36,666,26,11.66,103,64,241,10.57,55,1,2,2,0,1,0
103535,22,718,45,11.09,44,42,116,13.92,32,1,0,3,0,1,0
101699,64,929,104,5.93,11,15,144,19.86,140,1,0,3,0,0,0
106726,34,109,974,2.13,86,73,1367,8.92,56,2,2,5,1,1,1
101055,65,143,702,4.02,318,494,1205,15.52,27,4,6,10,1,1,1
101406,56,457,108,1.67,108,65,128,4.86,116,2,2,3,1,0,0
103767,37,1475,214,9.63,37,21,21,27.88,24,2,0,1,0,0,0
100601,26,1300,31,5.36,4,54,270,19.92,21,1,2,3,0,0,0
101383,50,1488,63,3.65,23,66,80,6.6,36,2,0,3,0,0,0
103332,19,1487,219,2.17,30,52,161,22.01,101,1,0,1,0,0,0
102118,20,474,159,4.96,85,45,288,23.09,54,2,2,0,0,0,0
104319,23,257,6,3.89,68,10,167,1.7,128,1,2,1,0,0,0
101912,37,1335,38,2.92,51,59,119,18.53,87,0,2,2,0,0,0
103684,74,132,73,3.78,20,36,267,3.42,118,0,0,1,0,0,0
107582,24,1142,179,4.09,19,19,279,20.14,66,1,1,3,0,0,0
104813,52,65,203,3.69,124,416,1362,4.49,50,10,3,11,1,1,1
101740,39,357,128,8.55,97,59,100,0.96,130,1,1,2,1,0,0
105039,31,171,904,2.33,639,508,1169,20.58,14,5,11,3,1,1,1
100927,54,55,599,0.83,184,201,1672,21.59,7,10,5,4,1,1,1
105138,40,123,298,3.12,516,416,202,5.77,31,7,3,1,0,0,1
103578,57,1087,166,9.15,83,34,71,23.08,105,0,0,1,1,0,0
104442,70,522,80,1.64,102,23,47,13.12,143,2,0,1,1,0,0
107472,51,1314,130,7.11,54,27,135,8.66,51,0,2,0,0,0,0
107128,69,720,150,8.87,80,54,45,16.4,34,2,0,1,1,0,0
100239,25,642,112,4.98,104,45,271,26.41,148,2,2,3,0,0,0
102966,65,102,89,8.21,106,58,63,13.17,94,0,0,0,0,0,0
103542,59,147,637,4.22,159,481,1639,22.43,18,8,11,5,1,1,1
106206,29,956,108,4.41,87,45,177,25.71,48,0,2,0,0,0,0
103210,57,1195,70,9.14,19,58,13,10.63,121,0,0,1,0,0,0
100101,52,141,608,0.9,236,104,1033,21.03,47,5,6,11,0,1,1
100318,21,874,14,10.37,8,43,19,23.25,100,2,2,3,0,0,0
104581,53,83,516,2.13,267,183,273,12.4,53,11,10,7,1,0,1
103187,23,119,151,9.81,114,2,90,4.22,134,1,0,1,0,0,0
100533,69,163,345,1.33,261,278,1491,18.31,16,9,9,10,0,1,1
100737,35,620,170,8.4,33,20,266,27.62,105,0,2,0,0,0,0
101244,56,253,94,3.07,88,20,85,26.2,130,0,2,2,0,0,0
101142,69,235,91,2.39,59,48,288,25.89,64,1,0,1,0,0,0
104347,38,70,182,4.23,310,193,1533,14.18,42,5,11,7,1,1,1
107287,45,1176,187,8.65,7,35,288,15.01,89,1,2,3,0,0,0
106526,68,462,109,6.01,56,61,281,19.13,83,1,2,2,0,0,0
101328,51,460,28,6.08,17,20,298,8.6,133,1,1,1,0,1,0
107097,65,1373,19,1.74,43,13,33,19.61,129,1,1,2,0,1,0
106613,21,721,171,3.38,119,8,179,4.97,146,0,1,0,0,0,0
101928,29,241,615,2.17,486,316,1666,17.1,8,10,6,4,1,1,1
105004,54,1492,214,4.48,102,28,148,23.71,54,0,1,3,0,0,0
100496,74,1243,105,1.65,3,20,58,0.6,104,0,2,0,0,0,0
107544,59,1302,74,9.19,50,63,257,2.04,91,2,2,0,0,1,0
102771,41,1491,200,7.59,70,25,252,27.67,119,1,2,1,0,0,0
100472,56,3,835,1.34,617,190,325,16.48,41,8,4,4,1,1,1
105050,74,124,37,9.34,83,19,216,14.62,76,1,1,2,0,0,0
104076,43,160,476,1.3,681,520,788,21.11,3,7,10,8,0,1,1
103916,36,21,355,3.47,462,456,1517,6.68,59,7,10,8,0,0,1
100544,30,958,84,4.59,68,30,93,8.64,72,0,1,0,0,0,0
104176,57,770,189,10.58,102,57,233,17.43,38,1,1,1,0,0,0
101242,24,609,215,6.87,22,60,202,13.85,94,1,0,0,1,0,0
107330,31,1165,1,9.68,33,39,170,0.97,58,2,0,3,0,0,0
105538,54,77,414,2.51,163,84,391,5.46,57,2,6,7,0,0,1
100334,48,1452,95,6.41,67,58,138,12.94,79,0,1,2,1,0,0
107132,34,1103,99,3.67,36,14,245,10.16,23,0,0,2,1,0,0
101315,73,425,154,4.19,88,7,258,13.86,142,0,0,2,0,1,0
101919,58,48,426,2.87,197,381,737,13.0,36,7,6,2,1,1,1
102184,35,638,213,4.56,116,3,154,5.85,57,1,1,2,0,0,0
103861,74,668,30,4.43,73,53,288,9.22,128,1,1,0,0,0,0
107409,56,200,81,10.0,14,67,186,10.36,91,1,1,3,0,0,0
104645,72,67,181,3.3,618,371,216,21.09,17,7,4,7,0,1,1
100132,30,598,185,6.72,3,63,291,17.99,86,1,1,0,0,0,0
103960,67,837,87,6.25,25,37,90,15.59,46,0,1,0,0,1,0
106351,70,480,129,9.04,65,7,117,18.09,105,1,0,0,0,0,0
102245,69,171,212,4.24,110,33,238,28.56,101,1,2,0,0,1,0
100540,52,536,196,9.6,58,12,23,10.6,107,0,1,2,0,1,0
106146,41,619,96,4.65,49,61,240,22.29,81,1,0,1,0,0,0
102029,23,409,156,8.54,59,55,20,8.06,106,1,2,1,1,0,0
100037,71,167,210,1.27,610,68,1299,12.42,13,3,10,4,0,0,1
107636,38,1291,202,8.68,47,9,228,17.55,147,1,2,0,0,0,0
107573,53,1231,66,2.57,31,43,204,26.14,37,1,0,1,0,0,0
102018,65,185,27,10.5,115,47,67,19.26,138,0,2,2,1,0,0
102111,49,1055,13,4.43,118,23,64,2.97,80,1,2,3,0,1,0
102402,53,219,735,3.95,282,50,1371,23.9,51,11,7,1,0,0,1
100748,48,1125,124,8.87,52,43,96,24.58,36,2,0,0,0,0,0
107567,57,607,187,8.9,73,61,290,0.61,41,2,0,1,0,1,0
102456,21,1336,128,5.96,13,17,264,20.76,68,2,0,2,1,0,0
107512,44,507,106,8.88,51,23,219,1.54,95,1,0,0,0,0,0
102344,70,575,40,8.76,10,9,266,21.42,55,1,0,2,0,1,0
100095,46,204,186,7.5,41,39,237,22.07,99,0,2,2,0,0,0
106251,49,1038,131,10.27,93,57,45,1.6,32,0,0,1,0,0,0
107864,33,80,603,1.28,423,430,1149,23.56,46,9,10,5,0,0,1
105223,65,332,181,11.56,49,9,94,22.54,105,2,1,1,0,0,0
102114,71,56,353,0.5,518,166,705,1.8,56,5,1,11,0,0,1
102586,47,409,108,2.49,12,33,208,10.98,23,0,2,3,0,1,0
105198,38,434,47,6.26,45,68,87,27.74,80,0,1,3,0,0,0
103439,49,1284,198,8.1,92,20,275,14.21,82,2,0,3,0,0,0
103554,64,32,723,0.4,613,397,1170,6.63,15,9,4,1,1,0,1
100453,69,1461,171,10.6,23,54,227,24.52,88,2,2,0,0,0,0
106584,57,82,628,2.27,316,396,898,17.46,35,4,2,9,0,1,1
102812,29,1007,59,8.37,3,13,138,1.92,83,2,2,3,0,0,0
102836,38,188,138,3.57,87,66,221,3.95,10,4,7,4,1,1,1
100251,67,112,608,3.15,276,479,708,9.66,33,5,6,7,1,0,1
106635,64,1232,1,1.66,58,49,95,14.69,115,2,0,2,0,0,0
101022,53,244,286,1.12,271,231,1358,8.61,46,4,1,11,0,1,1
107647,29,1160,29,3.59,119,9,130,23.74,22,0,2,1,0,0,0
101010,27,750,149,6.47,70,63,177,23.41,92,1,0,3,0,0,0
104649,58,121,817,2.98,431,459,1195,16.99,18,11,2,2,0,1,1
106001,69,71,791,3.01,192,279,679,6.07,59,7,1,4,0,0,1
101672,73,1374,131,6.68,88,28,25,20.96,116,0,0,2,0,0,0
100625,48,1155,12,9.36,74,2,115,21.69,125,2,1,1,0,0,0
107793,41,405,128,8.27,78,53,25,6.6,41,0,2,2,0,1,0
102110,46,15,402,2.1,531,111,1386,22.26,6,7,4,2,0,1,1
101465,41,132,512,2.7,498,231,801,11.32,10,11,2,8,1,1,1
107529,37,1084,30,2.72,102,5,124,12.73,116,2,2,2,0,0,0
104734,34,142,781,1.52,575,67,1271,1.52,17,9,7,2,1,1,1
104266,58,43,909,4.31,478,81,921,8.57,7,7,3,7,0,1,1
103091,63,86,968,2.91,183,487,1140,19.98,56,3,6,10,0,1,1
106972,49,1168,29,9.12,77,14,202,1.34,57,1,1,3,0,0,0
101888,59,854,188,6.28,8,24,51,10.96,24,1,2,0,0,0,0
101608,50,1106,47,8.17,80,26,22,7.2,21,2,2,2,1,0,0
101744,33,174,711,1.75,230,84,1690,24.0,29,8,5,6,1,1,1
100157,42,1241,111,3.19,59,15,72,7.55,24,2,0,3,0,0,0
102439,36,100,122,2.51,408,135,1403,7.16,43,5,7,4,1,1,1
102199,45,1358,81,3.39,57,35,128,17.89,39,2,1,2,0,0,0
